Food,Price,Units,fdc_id,Expenditure,Calculated con
 Banana,12.461725,g,341529,2.835575333,227.542762579017000
 Barley,7.799638,g,489276,3.576690557,458.57135382437000
 Beef,48.674426,g,548512,38.00403959,780.780436732834000
 Beer,19.31,gallon,789593,4.503756817,0.0616313276
 Bula,11.472868,g,170070,0.3807286893,33.185136384381000
 Butter/ghee,123.525912,g,479107,6.543441729,52.9722195372255000
 Cassava,16.0,g,372909,0.05837204605,3.648252878125000
 Chat / Kat,14.316194,g,0,14.25624636,995.81259935427000
 Cheese,35.888889,g,357068,0.598409073,16.6739369669538000
 Chick Pea,15.0406,g,393415,2.069815704,137.615235030517000
 Coffee,0.238007,g,510479,18.27390722,76778.8645712101000
 Eggs,90,g,520005,2.634657793,29.2739754777778000
 Field Pea,21.21584,g,537739,5.119620449,241.311230146909000
 Fish,11.460259,g,782560,0.6235104019,54.4063098312176000
 Goat & mutton meat,113,g,175304,14.68975964,129.997872920354000
 Godere,9.6,g,787192,0.2858008483,29.7709216979167000
 Green chili pepper (kariya),1.456026,g,170497,3.315726116,2277.24375526261000
"Greens (kale, cabbage, etc.)",6.73,g,169975,4.875580691,724.45478320951000
 Ground nuts,17.74359,g,487663,0.5302464149,29.8838293096267000
 Haricot Beans,8.400000,g,747441,2.657481295,316.366820833333000
 Horsebeans,11.201397,g,175205,8.837832559,788.993779882991000
 Kocho,3.872905,g,168569,4.941828778,1276.00051589182000
 Lentils,25.350303,g,539527,6.825155549,269.233687226539000
 Maize,5.361,g,168921,11.92112231,2223.67511844805000
 Milk,14.75,gallon,517042,6.81624557,0.12207916464
 Millet,5.986486,g,168871,0.7296093565,121.876064940267000
 Niger Seed,14.7,g,784463,0.1233362212,8.3902191292517000
 Oils (processed),21.350516,g,789047,20.14888305,943.718786468674000
 Onion,17.8,g,570221,12.02991809,675.83809494382000
 Orange,16.443405,g,392522,1.159715209,70.5276801854604000
 Pasta/Maccaroni,18.379423,g,457126,9.904891941,538.912018130275000
 Potato,6.546242,g,340981,5.923860755,904.925414459166000
 Poultry,57.192982,g,395315,2.886285599,50.4657302009537000
 PuUrchased Injera,37,g,784689,4.637770147,125.345139108108000
 Purchased Bread or Biscuits,13.96,g,551245,6.099060796,436.895472492837000
 Red pepper (berbere),54,g,448246,21.15148657,391.694195740741000
 Salt,13.2915,g,394689,5.115845475,384.896021893691000
 Soft drinks/Soda,44.574096,g,789519,4.722682286,105.951274614745000
 Sorghum,5.96619766667,g,169716,5.220659211,875.039598531083000
 Sugar,22.575,g,380934,14.26229739,631.77397076412000
 Sweet potato,3.856333,g,478350,0.6824883862,176.978592408902000
 Tea,20.25,g,561207,3.111246213,153.641788296296000
 Teff,12.247275,g,361081,37.41912735,3055.30228969301000
 Tella,2.0,gallon,789594,1.057564128,0.1396941536
 Tomato,20.787191,g,342502,7.624754595,366.800622315925000
 Wheat,8.959524,g,339623,12.18174608,1359.64210598688000